Axe_1,Axe_2,Axe_3,Axe_4,Axe_5,Axe_6,Axe_7,Axe_8,Axe_9,Axe_10
0.12472295434833344,0.5123219522403182,0.7207438174654703,-0.013525255542156079,0.07527154853352115,0.3175481246198617,0.23490861840174596,0.8311669052277048,0.47170176021133375,0.1663101037806607
-0.45791054715605095,-0.23267449092433304,0.17157265947875375,-0.11910000586848735,-0.4941884548342729,-0.3660928385967608,0.085901114118472,-0.04300140914743586,0.0011177853647957592,0.14476519709350333
0.4578488520942787,-0.32610925354438286,-0.33246136550850186,-0.18509541916527336,0.09740993880512165,0.02521515810394409,0.11964067296835211,0.1964151539765193,-0.09093122132000145,-0.37459959070894816
0.5477724855869399,-0.6078433593971709,0.027004897197316996,0.4021740910220644,0.35898788386280284,-0.2346680486901432,-0.162395376503148,-0.06763043200062523,-0.11512476358289853,-0.2795383748194499
-0.43104051834918006,-0.4065596627456858,0.701982191813108,0.7551049927463396,-0.03078866269756544,0.06734640690710057,0.22534328229420336,-0.07024602944458658,0.3020434236581182,0.23629855047975068
-0.15907068785259373,-0.29011006476612594,0.3932147888678061,-0.11906731274666375,-0.24456586332904237,-0.004072854526316354,-0.1040304828318538,0.08456661693329812,0.014483848279997385,-0.19702286948138512
0.4380136527417111,-0.14084432387843923,-0.8045885129586429,0.6883109354194248,0.07528420896119845,0.0029506916096550487,0.25201465075834406,0.7513967728607074,-0.023358874013701878,0.155162268841078
0.04491502729162829,-0.2077705424941177,0.047259283398838135,-0.18225874037628978,-0.4165409292808797,-0.0026040020330550403,-0.21022272218055274,0.10754549688265172,-0.12699819972621126,-0.24234190210910625
-0.6191862979632637,-0.10749058668264949,0.16383683909015945,0.2669503615513247,0.12860844116754128,-0.12814579297615022,-0.15639125724429537,-0.03267418211181894,-0.2548467406681203,0.7432685453928989
-0.6191862979632637,-0.10749058668264949,0.16383683909015945,0.2669503615513247,0.12860844116754128,-0.12814579297615022,-0.15639125724429537,-0.03267418211181894,-0.2548467406681203,0.7432685453928989
-0.1718115285597805,-0.10549712277555778,0.10391421725283431,-0.33915334660398916,-0.5217572665907119,-0.02012534168109438,0.12616105107076672,-0.07720504768118913,-0.05905132176708846,-0.16540293883703713
-0.0980690930668241,0.3922603667543345,-0.40686344828050486,-0.01225176794369774,0.29631649546253447,0.14955225294513033,-0.19378822556428987,0.611464160293144,-1.0934840372723662,0.30916564184388423
